Serial number,Barcode,Product name,Brand,Serving size (g),Sugar per serving (g),Saturated fat per serving (g),Sodium per serving (mg),Protein per serving (g),Fiber per serving (g),Calories per serving (kcal)
1,8908013479122,The whole truth food protein bar,The whole truth ,52 g,0 g,4.9 g,13.8 mg,13 g,4.4 g,258 kcal
2,8906143890053,The whole truth food protein bar,The whole truth ,35 g,1.2 g,3.4 g,24. 5 mg,9 g,2.5 g,228 kcal
3,8904335602385,Yoga bar protein bar,Yoga bar,50 g,21.5 g,1.2 g,160 mg,10 g,5.2 g,200 kcal
4,8906081120090,Happilo nut mixtures,Happilo,28 g,4 g,1.5 g,NULL,5 g,2.5 g,185 kcal
5,8906067021182,MuscleBlaze chocolate whey protein,MuscleBlaze,35 g,0 g,1 g,100 mg,25 g,0 g,120 kcal
6,8906059635038,Epigamia blueberry greek yogurt,Epigamia,85 g,6.8 g,0.85 g,40 mg,6 g,0 g,88 kcal
7,946459636639,Epigamia turbo protein milkshake cookie and cream,Epigamia,250 ml ,3.2 g,0 g,NULL,25 g,0 g,141 kcal
8,8908006217465,"Slurrp farm ragi, almond and banana Cereals",Slurrp Farm,30 g,0 g,0 g,1.5 mg,2.7 g,2 g,105 kcal
9,8908002984590,Soulfull Ragabites choco,Tata Soulfull,100 g,22.6 g,0.8 g,212 mg,10.8 g,9.2 g,392 kcal
10,8908002984972,Soulfull millet museli,Tata Soulfull,100 g,14. 8 g,1.6 g,185 mg,8.8 g,8.7 g,400 kcal
11,8901058005783,Maggi noodles,Maggi,75 g,1.5 g ,6.8 g,750 mg,6.2 g,2.5 g,288 kcal
12,8901491503174,Lay's salted chips,Lay's,28 g,1 g ,2.6 g,134 mg,2 g,0.4 g,156 kcal
13,0000 901626026,Red Bull,Red Bull,258 g,11 g,NULL,41 mg,0 g,NULL,45 kcal
14,8901719113345,Parle G,Parle,15 g,3.8 g,1 g,44 mg,1 g,0.2 g,68 kcal
15,5060166693015,Monster,Monster Energy,500 g,55 g,0 g,380 mg,0 g,0 g,237 kcal
15,5449000053879,Diet Coke,the Coca cola company,330 g,0 g,0 g,40 mg,0 g,0 g,1 kcal
16,7622210622211,Five star chocolate ,Five star,21.5 g,11.3 g,3.2 g,43 mg,0 g,0.2 g,116 kcal
17,8904063220424,Takatak chips,Takatak,28 g,2 g,1 g,260 mg,2 g,1 g,160 kcal
18,8801062168279,Lotte chocopie,Lotte,25 g,9 g,3 g,55 mg,1 g,0 g,108 kcal
19,5000159461122,Snickers,Snickers,45 g,26 g,5 g,96 mg,4 g,1.1 g,217 kcal
20,8901262176224,Chocobar,Amul,44 g,9.2 g,7.7 g,50 mg,1.7 g,0 g,145 cal
21,8901262200233,Amul chaas,Amul,200 g,5 g,2 g,120 mg,3 g,0 g,60 kcal
22,8904004400762,Haldiram aaloo bhujiya,Haldiram,35 g,0 g,3.5 g,230 mg,2 g,7 g,230 kcal
23,8909081000270,Dark fantasy chocofill cookie,Sunfeast,10 g,3.6 g,1.3 g,18 mg,0.7 g,0 g,52 kcal
24,7622201808044,Oreo biscuit,Oreo,22 g,8.1 g,3.1 g,38 mg,3.1 g,0.6 g,106 kcal
25,8901262150088,Amul tazza tetra milk packet,Amul,200 mg,0 g,4 g,74 mg,6 g,0 g,116 kcal
26,8904004400298,Haldirams punjabi tadka namkeen,Haldiram,35 g,1 g,6 g,310 mg,4 g,1 g,200 kcal
27,8901262153348,Amul lassi,Amul,200 g,30 g,2.4 g,60 mg,4 g,0 g,176 kcal
28,8901499006936,Chocos cereal,Kellogs,30 g,9 g,0.4 g,3 mg,2.7 g,1.5 g,112 kcal
29,8901063093089,Good day cashew biscuit,Britannia,20 g,4.8 g,2 g,65 mg,1.2 g,0.2 g,97 kcal
30,8902579100025,Frooti,Parle Agro,200 g,31.2 g,0 g,52 mg,0 g,0 g,126 kcal
31,8901030814944,Horlics Classic Malt,Horlics,27 g,13.2 g,0.5 g,62 mg,4.7,0.6 g,102 kcal
32,8906127540016,Farmley Datebites,Farmley,20 g,6.7 g,1.2 g,5 mg,3.3 g,1.8 g,99 kcal
33,8901764130222,PediaSure Vanilla,Pediasure,47 g,9.6 g,1.6 g,150 mg,6.5 g,0 g,220 kcal
34,8901063019073,Britannia Jim Jam,Britannia,35 g,11 g,3.5 g,75 mg,2 g,0.5 g,170 kcal
35,8901799130003,Kellog's Corn flakes,Kellog's,30 g,2.4 g,0.1 g,215 mg,2.4 g,0.3 g,113 kcal
36,8901595862962,Ching's Schezwan Chutney,Ching's,15 g,0.5 g,0.3 g,296 mg,0.3 g,0 g,22 kcal
37,8901719110566,Parle Hide and seek,Parle,25 g,8 g,2.5 g,80 mg,1.5 g,1.1 g,121 kcal
38,8901719100543,Parle Bourbon,Parle,25 g,10.4 g,1.9 g,26 mg,1.3 g,0.5 g,117 kcal
39,8901063019259,Britannia Marie Gold,Britannia,30 g,5.6 g,1.1 g,95 mg,2 g,0.5 g,133 kcal
40,8906009079165,Unibic chocochip cookies,Unibic,30 g,8.7 g,4 g,50 mg,1.8 g,0.8 g,144 kcal
41,8901030594684,Nestle Cerelac,Nestle,25 g,8 g,0.9 g,40 mg,3.3 g,0.3 g,97 kcal
42,8906073750019,Yogabar Choco almond museli,Yogabar,50 g,12 g,1.5 g,35 mg,7 g,3.1 g,215 kcal
43,8901799101868,Kellog's fruit and nut museli,Kellog's,40 g,8.4 g,0.5 g,60 mg,3.3 g,2.5 g,159 kcal
44,8906120108126,Farmley peri peri makhana,Farmley,25 g,1 g,0.5 g,120 mg,2.2 g,0.5 g,119 kcal
45,8906120108119,Farmley sour and cream makhana,Farmley,25 g,0.7 g,0.5 g,130 mg,2.2 g,0.5 g,118 kcal
46,8901551101264,Sprite cold drink,Sprite,250 g,24.5 g,0 g,30 mg,0 g,0 g,98 kcal
47,8901063065049,Britannia Vanilla milk,Britannia,200 g,18 g,1.5 g,100 mg,5.6 g,0 g,156 kcal
48,8901262126013,Amul kool badam kesar,Amul,200 g,20 g,2 g,110 mg,6 g,0 g,178 kcal
49,8901551100113,Fanta orange,Fanta,250 g,28 g,0 g,18 mg,0 g,0 g,113 kcal
50,7622300185954,Tang orange powder,Tang,36 g,32 g,0 g,55 mg,0 g,0 g,140 kcal
51,8901152009005,Rasna orange concentrate,Rasna,5 g,3.8 g,0 g,2 mg,0 g,0 g,15 kcal
52,8901396000025,Glucon D regular,Glucon D,26 g,19.6 g,0 g,33 mg,0 g,0 g,129 kcal
53,8906024330025,Rooh Afza,Roof Afza,30 g,23 g,0 g,15 mg,0.2 g,0 g,90 kcal
54,8901551100977,Limca,Limca,250 g,22.5 g,0 g,23 mg,0 g,0 g,90 kcal
55,8901030891830,Kwality walls corneto ice cream,Kwality walls,61 g,17.3 g,5.1 g,71 mg,3.6 g,1.8 g,200 kcal
56,8901262114027,Amul orange ice bar,Amul,60 g,14 g,2.5 g,40 mg,2 g,0 g,110 kcal
57,8901777979105,Vadilal Gourmet Ice cream,Vadilal,100 g,22 g,5.5 g,80 mg,3.5 g,0.5 g,215 kcal
58,8901396400210,ENO regular sachet,ENO,5 g,0 g,0 g,1080 mg,0 g,0 g,15 kcal
59,8908013982646,Lahori jeera,Lahori jeera,160 g,17 g,0 g,0 mg,0 g,0 g,76 kcal
60,89010207900631,Dabur Chyawanprash,Dabur,15 g,48 g,0 g,12 mg,0.3 g,0.3 g,48 kcal
61,4902102072182,Minute maid orange pulp,Minute maid,100 g,8.5 g,0 g,2 mg,0.7 g,0.2 g,45 kcal
62,4902010272199,Minute maid lemon pulp,Minute maid,100 g,3 g,0 g,2 mg,0.3 g,0.1 g,20 kcal
63,8901058900015,Real fruit guvava juice,B natural,200 g,18 g,0 g,20 mg,0.5 g,1.5 g,100 kcal
64,8901058900022,Real mixed fruit juice,B natural,200 g,20 g,0 g,20 mg,0.5 g,0.5 g,100 kcal
65,8901058900309,Real fruit litchi juice,B natural,200 g,20 g,0 g,15 mg,0.5 g,0 g,95 kcal
66,890105890046,Real pineapple juice,B natural,200 g,19 g,0 g,10 mg,0.5 g,0.5 g,90 kcal
67,890105890053,Real apple juice,B natural,200 g,22 g,0 g,10 mg,0.3 g,0.5 g,100 kcal
68,8901058851018,Mazza Tetra Pack,Mazza,200 g,24 g,0 g,15 mg,0 g,0 g,110 kcal
69,8901058851025,Mazza Bottle,Mazza,250 g,30 g,0 g,19 mg,0 g,0 g,138 kcal
70,8901058000532,Coka cola ,Coca cola,200 g,21 g,0 g,10 mg,0 g,0 g,84 kcal
71,8901058000549,Coka cola ,Coca cola,500 g,52.5 g,0 g,25 mg,0 g,0 g,210 kcal
72,8901058001317,Sprite,Sprite,200 g,15 g,0 g,20 mg,0 g,0 g,60 kcal
73,8901058001324,Sprite,Sprite,500 g,37.5 g,0 g,50 mg,0 g,0 g,150 kcal
74,8901058001430,Fanta,Fanta,200 g,21 g,0 g,10 mg,0 g,0 g,86 kcal
75,8901058001447,Fanta,Fanta,500 g,52.5 g,0 g,25 mg,0 g,0 g,215 kcal
76,8901058003939,Mountain dew,Pespsi Co,200 g,22 g,0 g,35 mg,0 g,0 g,90 kcal
77,8901058003946,Mountain dew,Pespsi Co,500 g,55 g,0 g,88 mg,0 g,0 g,225 kcal
78,8901058001539,Thumbs up,Coca cola,200 g,22 g,0 g,10 mg,0 g,0 g,88 kcal
79,8901058001546,Thumbs up,Coca cola,500 g,55 g,0 g,25 mg,0 g,0 g,220 kcal
80,7622300441937,Cadbury chocolate,Cadbury,40 g,23 g,8 g,30 mg,3 g,1 g,210 kcal
81,7622300441951,Cadbury fruit and nut chocolate,Cadbury,40 g,22 g,7.5 g,35 mg,3.5 g,1.5 g,200 kcal
82,7622300442026,Cadbury oreo chocoate,Cadbury,38 g,21 g,7 g,80 mg,2.5 g,0.8 g,195 kcal
83,7622300442033,Cadbury sparkle chocolate,Cadbury,36 g,20 g,7 g,40 mg,2.5 g,0.5 g,190 kcal
84,8901058570017,Kitkat,Nestle,41.5 g,22 g,7.2 g,40 mg,3 g,0.5 g,218 kcal
85,8906068720018,Max chocolate protein bar,Max protein bar,67 g,9 g,2.5 g,150 mg,20 g,5 g,240 kcal
86,8901058560018,Nestle chocolate bar,Nestle,34 g,19 g,6.5 g,30 mg,2.5 g,0.5 g,180 kcal
87,8901058560025,Milkybar chocolate,Nestle,27 g,16.5 g,5.5 g,45 mg,2 g,0 g,145 kcal
88,8901058560032,Fuse chocolate bar,Nestle,45 g,24 g,6 g,65 mg,4.5 g,0.8 g,220 kcal
89,8901058714018,Nescafe latte,Nescafe,180 g,9 g,1.8 g,105 mg,4.5 g,0 g,110 kcal
90,8901058714025,Nescafe Intense cafe,Nescafe,180 g,6 g,1.2 g,90 mg,4 g,0 g,80 kcal
91,8906123100011,The whole truth peanut butter protein bar,The whole truth,52 g,5 g,3 g,80 mg,12 g,3 g,209 kcal
92,8906123100028,The whole truth cranberry protein bar,The whole truth,52 g,8 g,1.5 g,60 mg,10 g,3.5 g,185 cal
93,8906123100035,The whole truth coffee cocoa bar,The whole truth,52 g,6 g,3.5 g,70 mg,11 g,3 g,200 kcal
94,8906123100042,The whole truth coconut cocoa bar,The whole truth,52 g,5.5 g,4 g,65 mg,11 g,3 g,205 kcal
95,8906097760011,True elements steel cut oats,True Elements,40 g,0.5 g,0.3 g,5 mg,5 g,4 g,148 kcal
96,8901058232018,Saffola masala oats,Saffola,40 g,2.5 g,0.5 g,380 mg,4.5 g,3.5 g,158 kcal
97,8906097760028,True elements nuts protein bar,True Elements,40 g,6 g,2 g,50 mg,6 g,2.5 g,175 kcal
98,8906097760035,True elements antioxidant mix,True Elements,30 g,8 g,1 g,10 mg,3.5 g,2 g,140 kcal
99,8906097760042,True elements overnight oats,True Elements,50 g,4 g, 0.5 g,80 mg,6.5 g,5 g,185 kcal
100,8901088101018,MTR upma mix,MTR,80 g,2 g,0.5 g,620 mg,6 g,2 g,290 kcal